iter	Logloss
0	0.6847526065
1	0.6769579288
2	0.6697032105
3	0.6629755091
4	0.6562885931
5	0.6499197239
6	0.6439368237
7	0.6385057235
8	0.633383471
9	0.6284211704
10	0.6237419556
11	0.617646912
12	0.6126227122
13	0.6086723579
14	0.6043819326
15	0.6006970959
16	0.596579169
17	0.593290345
18	0.5889890757
19	0.5861123162
20	0.5824386079
21	0.5787217243
22	0.5758143119
23	0.5727879439
24	0.5699990978
25	0.565777686
26	0.5630191476
27	0.5606823956
28	0.5582868502
29	0.5537294201
30	0.5515322012
31	0.5470216929
32	0.5451776921
33	0.5431671215
34	0.5388880016
35	0.5370012725
36	0.5348569763
37	0.5330851904
38	0.5290475642
39	0.5274218257
