iter	Passed	Remaining
0	23905	23881460
1	34319	17125255
2	44672	14846082
3	66900	16658171
4	81342	16187132
5	97313	16121529
6	118797	16852210
7	133663	16574323
8	152209	16759968
9	171499	16978436
10	189306	17020332
11	197887	16292771
12	212052	16099712
13	223681	15753585
14	239739	15742865
15	255249	15697832
16	268073	15500948
17	277088	15116716
18	288901	14916446
19	301863	14791314
20	316937	14775337
21	330361	14686072
22	345344	14669634
23	359114	14603999
24	372154	14514024
25	386181	14466939
26	460181	16583590
27	477509	16576402
28	495092	16577067
29	506630	16381067
30	508468	15893743
31	511082	15460233
32	512993	15032278
33	514780	14625826
34	517143	14258390
35	519364	13907435
36	521397	13570417
37	523184	13244817
38	525335	12944799
39	527215	12653166
